name,artist,id,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,tempo,valence,sentiment,mood
Me and My Guitar,A Boogie Wit da Hoodie,6cZH4rX1KTt1aJ3Ql6Ynja,0.644,0.587,-6.736,0.353,0.473,0.0,0.0759,173.972,0.68,-0.9944,Calm
Family Business,Kanye West,5DBmXF7QO43Cuy9yqva116,0.744,0.524,-7.452,0.21,0.139,0.0,0.392,93.691,0.606,0.9946,Calm
I Smoked Away My Brain (I'm God x Demons Mashup) (feat. Imogen Heap & Clams Casino),A$AP Rocky,3ZaEs1O8BG581qYPHpQ8d6,0.47,0.652,-9.629,0.0561,0.0831,4.08e-05,0.175,141.981,0.104,-0.9952,Calm
Flex,Playboi Carti,2xyBvir9n474qfsOkxXMgx,0.75,0.596,-5.569,0.282,0.478,0.0,0.166,130.104,0.27,-0.9999,Calm
Do Not Disturb,Drake,2KvHC9z14GSl4YpkNMX384,0.618,0.693,-5.943,0.45,0.246,0.0,0.112,170.982,0.454,0.7442,Calm
Kody Blu 31,JID,6ZGoFntcQUWTPGGQPQmecY,0.559,0.719,-7.897,0.156,0.149,4.2e-06,0.46,76.184,0.532,-0.8862,Calm
Fight the Feeling (feat. Kendrick Lamar & Iman Omari),Mac Miller,0jFxJ1US3dmwQn7DJi269h,0.569,0.881,-5.873,0.365,0.111,0.0,0.655,148.067,0.811,0.9907,Calm
Sky Walker (feat. Travis Scott),Miguel,5WoaF1B5XIEnWfmb5NZikf,0.674,0.506,-10.532,0.0434,0.173,0.0,0.0866,145.965,0.183,0.9773,Calm
Father Time (feat. Sampha),Kendrick Lamar,28qA8y1sz0FTuSapsCxNOG,0.514,0.779,-4.365,0.344,0.181,0.0,0.099,152.869,0.517,0.9042,Calm
2055,Sleepy Hallow,4XvcHTUfIlWfyJTRG0aqlo,0.829,0.512,-5.865,0.187,0.492,0.0,0.12,80.511,0.638,0.9961,Calm
Hide (feat. Seezyn),Juice WRLD,6rz0dTA0PdhXImFV5EjM0w,0.715,0.639,-5.017,0.0752,0.0622,0.0,0.157,149.996,0.151,-0.9149,Calm
Hard Work Pays Off,Future,6gzIcEUuswJQGfJNPYMjjv,0.736,0.482,-8.242,0.196,0.327,0.0,0.229,140.064,0.608,-0.9123,Calm
Everything I Am,Kanye West,0NrtwAmRAdLxua31SzHvXr,0.631,0.623,-6.969,0.265,0.463,1.7e-06,0.151,80.23,0.765,-0.9882,Calm
Suicidal (feat. Juice WRLD) - Remix,YNW Melly,4S2uhQE8L9V6p7rj7SiauJ,0.655,0.441,-5.245,0.0629,0.474,0.0,0.099,139.957,0.273,-0.7887,Calm
"Dreams, Fairytales, Fantasies (feat. Brent Faiyaz & Salaam Remi)",A$AP Ferg,5oady7OSE7dH7LHiqmb3Cr,0.737,0.597,-7.333,0.119,0.292,0.0,0.13,92.049,0.449,-0.7506,Calm
