name,artist,id,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,tempo,valence,sentiment,mood
Deva Shree Ganesha,Ajay-Atul,6Ozx2ngGtXrqznTKhKBlrT,0.34,0.96,-5.427,0.0802,0.238,4.32e-06,0.0378,150.04,0.475,0.3612,Excited
Invincible,Pop Smoke,792HwhrdO3ErRKL5yRe4Ge,0.548,0.732,-5.652,0.336,0.125,0.0,0.269,142.791,0.612,-0.9883,Excited
Whistle (feat. Calum Scott),Jax Jones,4q05KbxYZ5JdkmrletgPjF,0.701,0.88,-4.56,0.0358,0.182,7.33e-06,0.0649,124.039,0.623,0.9757,Excited
Forget You,FAST BOY,1YWr18dWRmuvPgAsPBsOow,0.708,0.709,-5.881,0.0641,0.157,1.9e-06,0.142,128.034,0.511,0.9022,Excited
Head Shoulders Knees & Toes (feat. Norma Jean Martine),Ofenbach,2RRpaU7jFVcwo23pthdnBv,0.798,0.828,-5.36,0.193,0.0247,2.55e-06,0.121,124.962,0.6,-0.5372,Excited
A Sky Full of Stars,Coldplay,0FDzzruyVECATHXKHFs9eJ,0.545,0.675,-6.474,0.0279,0.00617,0.00197,0.209,124.97,0.162,-0.2528,Excited
BABYDOLL (Speed),Ari Abdul,5K3SJuYEkvvrLbzOjPyRi1,0.552,0.582,-5.535,0.0404,0.0813,0.205,0.177,105.483,0.538,0.9092,Excited
Revolution,The Score,7Fv8Qp3tTSbSS2VjryUF7L,0.574,0.833,-6.239,0.0563,0.0611,0.0,0.105,86.008,0.574,-0.9339,Excited
Bodies,Drowning Pool,7CpbhqKUedOIrcvc94p60Y,0.656,0.932,-3.405,0.0708,0.00347,0.00147,0.144,130.936,0.544,0.811,Excited
Fake It,Seether,4eAwB5pnKFTmsgc3zWoYO0,0.611,0.95,-3.509,0.0518,0.00141,1.59e-06,0.0543,132.078,0.607,-0.9265,Excited
FEEL NOTHING,The Plot In You,4xDwCYhobDehSBGUmd5H6Y,0.448,0.825,-5.307,0.0621,0.00353,0.0,0.108,144.17,0.226,-0.9565,Excited
Mercury: Retrograde,Ghostemane,0UKzG4fJ1LXf6DInew5vcV,0.826,0.816,-7.345,0.345,0.0581,0.00938,0.0593,156.995,0.43,-0.9937,Excited
...Ready For It?,Taylor Swift,2yLa0QULdQr0qAIvVwN6B5,0.613,0.764,-6.509,0.136,0.0527,0.0,0.197,160.015,0.417,0.9839,Excited
My Own Summer (Shove It),Deftones,1158ckiB5S4cpsdYHDB9IF,0.443,0.781,-4.277,0.0377,1.33e-05,0.205,0.166,71.841,0.372,-0.09,Excited
I Stand Alone,Godsmack,44NRdYQw7P0GWuiunRv3hr,0.217,0.92,-4.479,0.0628,2.86e-05,0.0,0.102,167.169,0.376,-0.9677,Excited
Step Back!,1nonly,6jdwbcH788txYS6Doy1F1j,0.783,0.89,-5.995,0.2,0.185,0.00417,0.0969,127.996,0.437,-0.9984,Excited
Headstrong,Trapt,1AEYT6VxrxXPMoQUxsY0E4,0.492,0.896,-5.819,0.117,0.000172,2.78e-06,0.189,184.981,0.534,-0.701,Excited
RAVE,Dxrk ダーク,01kfSdF9zfcDLri5sSWEoL,0.716,0.748,-6.06,0.0356,0.235,0.849,0.114,119.918,0.338,0.6124,Excited
